network_id,network_name,station_number,station_name,lat,lon,epic_dist_km,fault_dist_km,pga_g,pgv_cms,pgd_cm,sa_0p3_g,sa_1p0_g,sa_3p0_g,struct_apk_g,label_damage_state
NP,CGS,10001,Machu Picchu Peru Heritage Site,19.28827,63.5448,9.6,,0.023,1.99,0.2,0.144,0.009,0.001,,None
CE,IGPP,10002,Red Fort Delhi Heritage Site,10.24985,-34.91579,22.2,,0.025,1.93,0.2,0.131,0.006,0.003,,None
CE,IGPP,10003,Sun Temple Modhera Heritage Site,30.35023,-45.46289,25.7,,0.024,0.98,0.2,0.133,0.027,0.001,,None
AZ,IGPP,10004,Red Fort Delhi Heritage Site,30.04977,-85.17365,16,,0.028,1.27,0.3,0.128,0.015,0.001,,None
AZ,SCSN,10005,Sanchi Stupa Heritage Site,18.12884,39.029,17.5,,0.039,1.55,0.2,0.009,0.03,0,,None
CI,CGS,10006,Borobudur Indonesia Heritage Site,36.15326,12.84689,40.2,,0.032,1.09,0.1,0.062,0.008,0.001,,None
AZ,SCSN,10007,Konark Sun Temple Heritage Site,15.11127,86.17988,18.4,,0.018,1.72,0.3,0.027,0.003,0.002,,None
CI,IGPP,10008,Khajuraho Temples Heritage Site,10.52174,-28.86219,35.3,,0.042,1.41,0.3,0.114,0.027,0.001,,None
CE,IGPP,10009,Charminar Heritage Site,24.627,-79.89954,22.7,,0.041,0.54,0.3,0.042,0.026,0.002,,None
AZ,IGPP,10010,Angkor Wat Cambodia Heritage Site,15.53092,92.50823,39.6,,0.03,1.5,0.3,0.006,0.012,0.001,,None
CI,NSMP,10011,Shirdi Sai Temple Heritage Site,39.15175,34.7942,58.4,,0.03,1.11,0.2,0.112,0.014,0.002,,None
CI,SCSN,10012,Golden Temple Amritsar Heritage Site,24.89442,-116.76032,52.9,,0.023,1.86,0.2,0.065,0.017,0.003,,None
CI,NSMP,10013,Chichen Itza Mexico Heritage Site,35.66496,80.37316,20.6,,0.04,1.81,0.3,0.116,0.009,0.003,,None
CI,SCSN,10014,Machu Picchu Peru Heritage Site,39.26288,88.75505,38.7,,0.012,0.82,0.3,0.096,0.014,0.001,,None
NP,SCSN,10015,Jaisalmer Fort Heritage Site,12.35153,48.22269,6.5,,0.022,1.28,0.2,0.119,0.014,0.001,,None
NP,NSMP,10016,Ajanta Caves Heritage Site,36.12758,-30.12321,5.1,,0.042,1.21,0.3,0.109,0.015,0.004,,None
CI,NSMP,10017,Charminar Heritage Site,18.12754,14.7619,45.1,,0.047,1.59,0.3,0.021,0.014,0,,None
NP,CGS,10018,Meenakshi Temple Heritage Site,15.49356,-35.58338,55.5,,0.023,0.86,0.3,0.014,0.005,0.002,,None
AZ,CGS,10019,Bagan Myanmar Heritage Site,19.88622,-21.87632,36.7,,0.015,0.91,0.4,0.037,0.016,0.001,,None
NP,IGPP,10020,Charminar Heritage Site,17.58991,-31.56272,57.4,,0.05,0.94,0.3,0.033,0.001,0.004,,None
CI,NSMP,10021,Sanchi Stupa Heritage Site,13.22621,5.4272,51.8,,0.025,0.57,0.3,0.037,0.024,0.001,,None
NP,NSMP,10022,Colosseum Rome Heritage Site,13.60096,-15.27449,42.8,,0.036,0.85,0.1,0.017,0.008,0.001,,None
CE,CGS,10023,Golconda Fort Heritage Site,35.60593,-84.81969,58.7,,0.033,1.53,0.4,0.07,0.022,0.001,,None
CE,CGS,10024,Pyramids of Giza Egypt Heritage Site,22.70329,-54.67752,50.4,,0.048,0.9,0.2,0.016,0.025,0.004,,None
CE,SCSN,10025,Sun Temple Modhera Heritage Site,39.97834,52.50625,5.2,,0.048,0.69,0.3,0.071,0.011,0.003,,None
CI,NSMP,10026,Meenakshi Temple Heritage Site,23.60824,-84.87488,20.3,,0.021,1.24,0.2,0.127,0.012,0.004,,None
AZ,SCSN,10027,Qutub Minar Heritage Site,21.02845,9.57166,39.6,,0.014,1.45,0.3,0.061,0,0.001,,None
CI,NSMP,10028,Hampi Virupaksha Temple Heritage Site,21.72152,6.55071,21.2,,0.046,0.51,0.3,0.012,0.011,0.001,,None
AZ,IGPP,10029,Ajanta Caves Heritage Site,39.48696,91.60355,24.9,,0.016,1.13,0.3,0.024,0.004,0.001,,None
AZ,NSMP,10030,Red Fort Delhi Heritage Site,17.05669,-10.27707,32.5,,0.034,1.11,0.1,0.031,0.008,0.004,,None
CE,NSMP,10031,Stonehenge UK Heritage Site,30.417,-106.90075,15,,0.017,1.51,0.3,0.086,0.007,0.003,,None
AZ,IGPP,10032,Great Wall China Heritage Site,26.11728,-5.5264,7.5,,0.025,0.84,0.4,0.011,0.003,0,,None
AZ,NSMP,10033,Qutub Minar Heritage Site,28.92704,-68.6277,9.7,,0.047,1.28,0.4,0.12,0.017,0.003,,None
NP,NSMP,10034,Qutub Minar Heritage Site,31.57719,-118.86926,28.5,,0.039,0.8,0.1,0.12,0.014,0.002,,None
AZ,CGS,10035,Jaisalmer Fort Heritage Site,29.95463,69.10965,36.2,,0.026,1.3,0.2,0.053,0.012,0.003,,None
NP,SCSN,10036,Angkor Wat Cambodia Heritage Site,36.82956,-7.88759,49.2,,0.011,1.4,0.1,0.121,0.012,0.001,,None
AZ,SCSN,10037,Petra Jordan Heritage Site,39.46,-93.56202,30.1,,0.017,1.32,0.2,0.12,0.002,0.002,,None
CE,IGPP,10038,Konark Sun Temple Heritage Site,15.47882,86.76453,21.5,,0.04,0.91,0.1,0.076,0.021,0.003,,None
AZ,CGS,10039,St. Basil's Cathedral Moscow Heritage Site,24.00263,-42.20963,51.2,,0.016,0.79,0.2,0.041,0.009,0.001,,None
CE,IGPP,10040,Colosseum Rome Heritage Site,34.74365,-5.79717,14.1,,0.04,0.56,0.2,0.117,0.017,0,,None
CE,SCSN,10041,Petra Jordan Heritage Site,38.61254,-73.68631,10.8,,0.04,1.33,0.3,0.033,0.028,0.002,,None
NP,NSMP,10042,Bagan Myanmar Heritage Site,19.37782,85.40232,50,,0.041,0.94,0.3,0.131,0.005,0,,None
AZ,CGS,10043,Prambanan Indonesia Heritage Site,20.0994,5.40713,44.4,,0.031,1.6,0.3,0.077,0.019,0.001,,None
CI,CGS,10044,Hampi Virupaksha Temple Heritage Site,36.01792,-104.99698,18.9,,0.044,1.06,0.3,0.007,0.007,0.003,,None
CI,IGPP,10045,Kyoto Temples Japan Heritage Site,21.67636,-17.92459,8.6,,0.035,1.46,0.3,0.016,0.029,0,,None
NP,IGPP,10046,Chichen Itza Mexico Heritage Site,17.29207,45.23145,9.6,,0.025,1.78,0.3,0.073,0.026,0.004,,None
